Date,Close/Last,Volume,Open,High,Low
07/08/2022,267.66,19658750,264.79,268.1,263.285
07/07/2022,268.4,20859870,265.12,269.055,265.02
07/06/2022,266.21,23824420,263.75,267.99,262.4
07/05/2022,262.85,22971630,256.16,262.98,254.74
07/01/2022,259.58,22837690,256.39,259.77,254.61
06/30/2022,256.83,31730870,257.05,259.53,252.9
06/29/2022,260.26,20069840,257.59,261.97,255.76
06/28/2022,256.48,27380250,263.98,266.91,256.32
06/27/2022,264.89,24615110,268.205,268.3,263.28
06/24/2022,267.7,33923230,261.808,267.98,261.72
06/23/2022,258.86,25861450,255.57,259.37,253.63
06/22/2022,253.13,25961220,251.89,257.17,250.37
06/21/2022,253.74,29928300,250.255,254.75,249.51
06/17/2022,247.65,43084780,244.7,250.5,244.03
06/16/2022,244.97,33169160,245.98,247.4174,243.02
06/15/2022,251.76,33111730,248.31,255.3,246.42
06/14/2022,244.49,28651490,243.86,245.74,241.51
06/13/2022,242.26,46135790,245.11,249.0242,241.53
06/10/2022,252.99,31445840,260.58,260.58,252.53
06/09/2022,264.79,26439730,267.78,272.7081,264.63
06/08/2022,270.41,17372340,271.71,273,269.61
06/07/2022,272.5,22860680,266.635,273.13,265.94
06/06/2022,268.75,22400340,272.06,274.18,267.22
06/03/2022,270.02,28058960,270.31,273.45,268.41
06/02/2022,274.58,44008210,264.45,274.65,261.6
06/01/2022,272.42,25292170,275.195,277.69,270.04
05/31/2022,271.87,37827700,272.53,274.77,268.93
05/27/2022,273.24,26910810,268.48,273.34,267.56
05/26/2022,265.9,25002110,262.27,267.11,261.4294
05/25/2022,262.52,28547950,258.14,264.58,257.125
05/24/2022,259.62,29043900,257.89,261.33,253.5
05/23/2022,260.65,33175380,255.49,261.5,253.43
05/20/2022,252.56,39199280,257.24,258.54,246.44
05/19/2022,253.14,32692290,253.9,257.67,251.88
05/18/2022,254.08,31355990,263,263.6,252.77
05/17/2022,266.82,28828800,266.11,268.33,262.46
05/16/2022,261.5,32550930,259.955,265.82,255.78
05/13/2022,261.12,34925090,257.35,263.04,255.35
05/12/2022,255.35,51033800,257.69,259.88,250.02
05/11/2022,260.55,48975900,265.68,271.36,259.3
05/10/2022,269.5,39336420,271.69,273.75,265.07
05/09/2022,264.58,47725950,270.06,272.36,263.32
05/06/2022,274.73,37780320,274.805,279.25,271.27
05/05/2022,277.35,43260390,285.54,286.35,274.34
05/04/2022,289.98,33599320,282.59,290.88,276.73
05/03/2022,281.78,25978610,283.96,284.13,280.15
